ef_item_id,category_name,item,class_name
1,チーム運営・業務遂行,チームの役割と責任を理解している,Analyst
2,インタビュー技術,スクリプトに従って質問・記録ができる,Analyst
3,問題解決力,単純な問題を特定し、基本的な解決策を提案できる,Analyst
4,プレゼンテーション力,最低限の構成でプレゼンができる,Analyst
5,プロジェクト計画,計画会議に参加できる,Analyst
6,品質管理,既存の品質手順に従える,Analyst
7,マネジメント全般,指導のもとでチーム活動を支援できる,Analyst
8,チーム運営・業務遂行,チーム目標に向けて協力・貢献できる,Consultant
9,インタビュー技術,構造化されたインタビューを実施し、情報を引き出せる,Consultant
10,問題解決力,問題を分析し、実行可能な解決策を提示できる,Consultant
11,プレゼンテーション力,構造化されたプレゼンを作成・実施できる,Consultant
12,プロジェクト計画,計画立案やスケジュール作成を補助できる,Consultant
13,品質管理,品質を監視し、問題を報告できる,Consultant
14,マネジメント全般,小規模な業務を管理し、チーム運営を補助できる,Consultant
15,チーム運営・業務遂行,チーム活動を主導し、協働を促進できる,SeniorConsultant
16,インタビュー技術,インタビュー設計ができ、他者を指導できる,SeniorConsultant
17,問題解決力,複雑な問題を解決し、妥当性を検証できる,SeniorConsultant
18,プレゼンテーション力,ステークホルダーに対して説得力あるプレゼンができる,SeniorConsultant
19,プロジェクト計画,詳細な計画を立て、実行管理ができる,SeniorConsultant
20,品質管理,品質改善を実施し、監査ができる,SeniorConsultant
21,マネジメント全般,チームの成果と育成を管理できる,SeniorConsultant
22,チーム運営・業務遂行,複数チームを管理し、目標に整合させる,Manager
23,インタビュー技術,インタビュー全体を監督し、データの整合性を担保できる,Manager
24,問題解決力,チーム横断で課題解決を主導できる,Manager
25,プレゼンテーション力,経営層に対して戦略的な洞察を提示できる,Manager
26,プロジェクト計画,大規模プロジェクトを計画・監督できる,Manager
27,品質管理,品質基準とコンプライアンスを確立できる,Manager
28,マネジメント全般,資源と戦略を管理できる,Manager
29,チーム運営・業務遂行,部門横断で業務最適化を推進できる,SeniorManager
30,インタビュー技術,手法を革新し、組織全体で一貫性を保てる,SeniorManager
31,問題解決力,組織全体の課題解決戦略を推進できる,SeniorManager
32,プレゼンテーション力,経営判断に影響を与えるプレゼンができる,SeniorManager
33,プロジェクト計画,組織戦略と整合した計画を立案できる,SeniorManager
34,品質管理,品質文化と継続的改善を推進できる,SeniorManager
35,マネジメント全般,組織変革とマネジメント手法を主導できる,SeniorManager
36,チーム運営・業務遂行,チーム運営方針とビジョンを策定できる,Director
37,インタビュー技術,戦略的なインタビュー方針を策定できる,Director
38,問題解決力,問題解決文化と能力を組織に定着させる,Director
39,プレゼンテーション力,外部に向けて組織を代表するプレゼンができる,Director
40,プロジェクト計画,戦略的プロジェクト群を統括できる,Director
41,品質管理,品質ビジョンとガバナンスを策定できる,Director
42,マネジメント全般,組織のリーダーシップと哲学を策定できる,Director
